index,genre,budget,gross,runtime,rating,score
121,Drama,10000000.0,10853418.0,116.0,PG,6.7
122,Comedy,7000000.0,95461682.0,97.0,PG,6.9
123,Biography,,5073.0,110.0,PG,7.8
124,Comedy,,15965924.0,91.0,PG,5.8
125,Horror,3000000.0,,94.0,R,6.6
126,Comedy,11000000.0,31672907.0,92.0,R,6.9
127,Horror,1000000.0,17985893.0,91.0,R,6.6
128,Action,18000000.0,14110013.0,109.0,PG,6.7
129,Crime,3000000.0,1752634.0,109.0,R,6.9
130,Adventure,12500000.0,20962615.0,100.0,R,7.3
131,Horror,5000000.0,20471382.0,108.0,R,5.6
132,Biography,5000000.0,19032261.0,129.0,R,6.7
133,Comedy,2800000.0,26279000.0,87.0,R,5.2
134,Crime,12000000.0,12376625.0,122.0,R,6.6
135,Drama,,14920781.0,155.0,PG,7.3
136,Horror,2500000.0,8279042.0,100.0,R,5.6
137,Crime,8500000.0,6400000.0,103.0,R,6.0
138,Adventure,,5732587.0,110.0,PG,7.4
139,Action,16000000.0,17374595.0,109.0,R,6.6
140,Action,,,106.0,R,7.2
141,Comedy,12000000.0,14867086.0,122.0,R,6.4
142,Horror,400000.0,123843.0,87.0,R,6.8
143,Drama,,23371905.0,110.0,R,6.3
144,Horror,,5672031.0,90.0,R,6.3
145,Horror,,7886857.0,96.0,R,5.9
146,Drama,26000000.0,636796.0,107.0,R,6.5
147,Drama,,26890068.0,124.0,R,7.0
148,Adventure,,31206251.0,97.0,G,7.2
149,Crime,10000000.0,12850276.0,108.0,R,6.3
150,Drama,8000000.0,,93.0,PG,6.1
151,Action,5000000.0,19905359.0,99.0,R,6.4
152,Comedy,,37000000.0,88.0,R,6.2
153,Action,,35610100.0,122.0,R,6.3
154,Comedy,8500000.0,29916207.0,94.0,R,5.6
155,Comedy,,237000.0,87.0,R,5.9
156,Romance,,17583634.0,112.0,R,7.1
157,Horror,17000000.0,10626725.0,115.0,R,6.3
158,Comedy,,5165432.0,86.0,R,5.5
159,Crime,8600000.0,8124257.0,167.0,R,7.5
160,Drama,,2447576.0,104.0,R,5.5
161,Comedy,,15578237.0,103.0,PG,6.2
162,Music,,110014.0,117.0,R,7.2
163,Horror,,5229643.0,92.0,R,5.8
164,Crime,,29200000.0,125.0,R,6.7
165,Horror,800000.0,1118634.0,84.0,R,6.0
166,Action,,,93.0,PG,6.2
167,Comedy,20000000.0,18826490.0,98.0,PG,5.4
168,Comedy,6000000.0,9566593.0,92.0,PG,5.6
169,Comedy,,20259961.0,88.0,PG,5.5
170,Drama,,14923752.0,112.0,PG,6.0
171,Drama,,12042.0,101.0,R,6.3
172,Horror,250000.0,,96.0,R,4.9
173,Comedy,8000000.0,26154211.0,93.0,PG,5.1
174,Drama,22000000.0,9171289.0,108.0,R,6.5
175,Animation,1500000.0,,96.0,R,7.2
176,Action,18000000.0,12617845.0,98.0,PG,5.1
177,Adventure,14000000.0,2022771.0,118.0,PG,5.2
178,Horror,,1169875.0,88.0,R,5.6
179,Action,3800000.0,,106.0,R,5.5
180,Drama,2700000.0,3256082.0,103.0,R,6.8
181,Drama,,14492125.0,117.0,R,5.9
182,Comedy,10000000.0,7258543.0,96.0,R,6.5
183,Comedy,11000000.0,31261269.0,94.0,R,6.1
184,Comedy,,2863642.0,93.0,R,7.0
185,Comedy,12000000.0,2154696.0,78.0,PG,4.3
186,Adventure,,11809387.0,94.0,R,5.6
187,Comedy,3500000.0,17569027.0,100.0,PG,5.0
188,Drama,,1976198.0,94.0,R,6.8
189,Comedy,13000000.0,8206145.0,119.0,R,7.3
190,Drama,46000000.0,5200986.0,140.0,PG,2.7
191,Comedy,14000000.0,4454295.0,87.0,R,5.5
192,Adventure,12000000.0,3702028.0,100.0,PG,5.6
193,Drama,16000000.0,10851261.0,116.0,R,5.4
194,Comedy,,25524778.0,120.0,R,6.5
195,Action,24000000.0,2004742.0,107.0,PG,5.2
196,Comedy,,18838812.0,94.0,PG,4.9
197,Action,2000000.0,1791147.0,90.0,PG,5.5
198,Horror,,,82.0,R,2.9
199,Comedy,,16000000.0,96.0,PG,5.0
200,Crime,,6892098.0,112.0,R,5.8
201,Comedy,,,100.0,TV-PG,5.1
202,Western,,12000000.0,91.0,R,5.1
203,Adventure,,17110.0,129.0,Not Rated,6.9
204,Drama,,1622898.0,94.0,PG,6.3
205,Comedy,4500000.0,27092880.0,90.0,R,7.2
206,Action,28000000.0,41676878.0,117.0,R,8.1
207,Horror,15000000.0,19632053.0,109.0,R,8.1
208,Action,20000000.0,68851475.0,129.0,R,6.9
209,Family,10500000.0,792910554.0,115.0,PG,7.8
210,Action,15000000.0,125212904.0,93.0,R,7.7
211,Drama,7500000.0,129795554.0,124.0,R,7.0
212,Comedy,13200000.0,15171476.0,115.0,PG,4.4
213,Comedy,50000000.0,57063861.0,127.0,PG,6.6
214,Horror,10700000.0,77142388.0,114.0,PG,7.3
215,Action,12000000.0,78868508.0,96.0,R,6.9
216,Action,11200000.0,78912963.0,113.0,PG,7.7
217,Adventure,,5588800.0,100.0,R,4.9
218,Comedy,,5829781.0,92.0,R,6.3
219,Drama,12000000.0,30036000.0,150.0,R,7.6
220,Biography,22000000.0,52767889.0,191.0,PG,8.0
221,Comedy,21000000.0,177200000.0,116.0,PG,7.4
222,Action,17000000.0,33000525.0,96.0,PG,6.8
223,Animation,7000000.0,14665733.0,82.0,G,7.6
224,Comedy,20000000.0,2536242.0,109.0,PG,7.8
225,Drama,17000000.0,125052686.0,99.0,PG,6.8
226,Action,8000000.0,14056528.0,118.0,PG,6.2
227,Comedy,8000000.0,21028755.0,120.0,R,6.9
228,Adventure,3500000.0,20659423.0,102.0,PG,7.3
229,Drama,12000000.0,22265763.0,95.0,R,8.0
230,Fantasy,18000000.0,7000000.0,118.0,R,6.2
231,Drama,6000000.0,6795771.0,188.0,R,8.1
232,Horror,2300000.0,36690067.0,95.0,R,5.7
233,Action,18000000.0,46708276.0,136.0,PG,6.0
234,Horror,2500000.0,14400000.0,98.0,R,5.0
235,Adventure,15000000.0,41630431.0,93.0,PG,7.2
236,Drama,16000000.0,53993738.0,129.0,R,7.7
237,Horror,300000.0,2032311.0,85.0,Not Rated,6.1
238,Comedy,,16897768.0,98.0,R,4.9
239,Comedy,,20225989.0,108.0,PG,5.9
240,Comedy,17000000.0,29712172.0,136.0,R,7.2
241,Comedy,5000000.0,14099953.0,110.0,R,7.1
242,Comedy,35000000.0,69701637.0,114.0,R,6.0
243,Drama,13000000.0,10278575.0,115.0,PG,7.1
244,Comedy,,21095638.0,106.0,R,6.6
245,Comedy,,4968000.0,98.0,R,5.7
246,Comedy,,28229046.0,134.0,PG,7.6
247,Animation,3500000.0,6455330.0,92.0,G,7.4
248,Drama,9000000.0,13277558.0,125.0,R,6.7
249,Comedy,15000000.0,27150534.0,85.0,PG,6.2
250,Comedy,17000000.0,47118057.0,102.0,PG,5.8
251,Horror,425000.0,10604986.0,91.0,R,6.0
252,Crime,10000000.0,6110670.0,117.0,PG,7.1
253,Action,,39103425.0,99.0,R,5.6
254,Action,2000000.0,16100000.0,89.0,R,6.0
255,Action,4500000.0,10490791.0,103.0,R,5.5
256,Action,20000000.0,5675599.0,99.0,PG,3.7
257,Drama,16000000.0,5672311.0,128.0,R,6.3
258,Comedy,9000000.0,18196170.0,88.0,PG,6.9
259,Horror,5000000.0,12534817.0,104.0,R,5.5
260,Biography,9500000.0,14000000.0,122.0,PG,7.7
261,Biography,,,140.0,R,7.3
262,Thriller,,11378339.0,104.0,R,4.9
263,Comedy,11300000.0,5301539.0,120.0,PG,6.7
264,Comedy,,19282134.0,116.0,PG,7.0
265,Drama,,7400000.0,103.0,PG,6.5
266,Horror,750000.0,,83.0,PG,3.6
267,Crime,,1515578.0,111.0,R,5.9
268,Comedy,13000000.0,5005245.0,140.0,PG,6.5
269,Comedy,,30688860.0,96.0,R,5.5
270,Comedy,,20123620.0,92.0,PG,7.4
271,Crime,10000000.0,5979947.0,93.0,PG,6.1
272,Horror,800000.0,2270.0,85.0,R,3.9
273,Drama,,11897978.0,113.0,R,6.9
274,Comedy,2000000.0,4484991.0,122.0,PG,6.6
275,Horror,,7742572.0,98.0,R,5.6
276,Comedy,850000.0,840958.0,109.0,PG,7.2
277,Action,6000000.0,2666873.0,125.0,R,6.4
278,Comedy,6000000.0,9056073.0,96.0,PG,5.0
279,Drama,,1054328.0,91.0,R,6.0
280,Crime,22000000.0,6118683.0,108.0,R,6.4
281,Comedy,,15782759.0,101.0,PG,6.0
282,Comedy,,9077269.0,88.0,PG,6.6
283,Action,,13253583.0,97.0,R,6.5
284,Comedy,15000000.0,36821203.0,116.0,PG,5.5
285,Drama,12000000.0,9217530.0,124.0,R,6.9
286,Comedy,17000000.0,946461.0,105.0,R,5.1
287,Western,11000000.0,1736123.0,90.0,PG,6.4
288,Horror,,13258670.0,103.0,R,5.7
289,Comedy,,2370376.0,95.0,R,4.9
290,Comedy,,10054150.0,84.0,R,4.7
